objectsWith2,total2Objects,ImageID,_nObjects_,_Object0_,_Object0_x,_Object0_y,_Object0_width,_Object0_height,_Object1_,_Object1_x,_Object1_y,_Object1_width,_Object1_height,_Object2_,_Object2_x,_Object2_y,_Object2_width,_Object2_height,_Object3_,_Object3_x,_Object3_y,_Object3_width,_Object3_height,_Object4_,_Object4_x,_Object4_y,_Object4_width,_Object4_height,_Object5_,_Object5_x,_Object5_y,_Object5_width,_Object5_height,_Object6_,_Object6_x,_Object6_y,_Object6_width,_Object6_height,_Object7_,_Object7_x,_Object7_y,_Object7_width,_Object7_height,_Object8_,_Object8_x,_Object8_y,_Object8_width,_Object8_height,_Object9_,_Object9_x,_Object9_y,_Object9_width,_Object9_height,_Object10_,_Object10_x,_Object10_y,_Object10_width,_Object10_height,_Object11_,_Object11_x,_Object11_y,_Object11_width,_Object11_height,_Object12_,_Object12_x,_Object12_y,_Object12_width,_Object12_height,_Object13_,_Object13_x,_Object13_y,_Object13_width,_Object13_height,_Object14_,_Object14_x,_Object14_y,_Object14_width,_Object14_height,_Object15_,_Object15_x,_Object15_y,_Object15_width,_Object15_height,_Object16_,_Object16_x,_Object16_y,_Object16_width,_Object16_height,_Object17_,_Object17_x,_Object17_y,_Object17_width,_Object17_height,_Object18_,_Object18_x,_Object18_y,_Object18_width,_Object18_height,_Object19_,_Object19_x,_Object19_y,_Object19_width,_Object19_height,_Object20_,_Object20_x,_Object20_y,_Object20_width,_Object20_height,_Object21_,_Object21_x,_Object21_y,_Object21_width,_Object21_height,_Object22_,_Object22_x,_Object22_y,_Object22_width,_Object22_height,_Object23_,_Object23_x,_Object23_y,_Object23_width,_Object23_height,_Object24_,_Object24_x,_Object24_y,_Object24_width,_Object24_height,_Object25_,_Object25_x,_Object25_y,_Object25_width,_Object25_height,_Object26_,_Object26_x,_Object26_y,_Object26_width,_Object26_height,objectNameHolder,xHolder,yHolder,heightHolder,widthHolder,new_column_placement,column
"_Object4_, _Object5_, _Object6_",3,Hframe (10018).JPG,8,2,0.1759469697,0.9099326599,0.0431818182,0.1801346801,2,0.5929924242,0.6604377104,0.0333333333,0.4104377104,2,0.793655303,0.4306397306,0.0293560606,0.3131313131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.793655303,0.4306397306,0.3131313131,0.0293560606,4,28
"_Object4_, _Object5_, _Object6_",3,Hframe (1002).JPG,7,2,0.2945075758,0.3331649832,0.0367424242,0.2542087542,2,0.5410984848,0.1018518519,0.0140151515,0.2037037037,2,0.7139204545,0.0101010101,0.0119318182,0.0202020202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7139204545,0.0101010101,0.0202020202,0.0119318182,4,28
,0,Hframe (10020).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7139204545,0.0101010101,0.0202020202,0.0119318182,1,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10023).JPG,8,2,0.5893939394,0.2737373737,0.0193181818,0.1777777778,2,0.6559659091,0.5528619529,0.0244318182,0.1919191919,2,0.7602272727,0.9303030303,0.0314393939,0.1393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7602272727,0.9303030303,0.1393939394,0.0314393939,4,28
_Object4_,1,Hframe (10024).JPG,6,2,0.4267045455,0.3579124579,0.0196969697,0.138047138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4267045455,0.3579124579,0.138047138,0.0196969697,2,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10025).JPG,8,2,0.356155303,0.4383838384,0.0232954545,0.2323232323,2,0.4573863636,0.5341750842,0.0325757576,0.2885521886,2,0.6284090909,0.7107744108,0.0439393939,0.3878787879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6284090909,0.7107744108,0.3878787879,0.0439393939,4,28
"_Object7_, _Object8_, _Object9_",3,Hframe (10026).JPG,11,2,0.409375,0.447979798,0.0028409091,0.0353535354,2,0.4570075758,0.4481481481,0.003030303,0.0363636364,2,0.3621212121,0.4491582492,0.0026515152,0.0377104377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3621212121,0.4491582492,0.0377104377,0.0026515152,4,28
"_Object4_, _Object5_",2,Hframe (10027).JPG,7,2,0.765719697,0.3735690236,0.0348484848,0.2602693603,2,0.6668560606,0.8154882155,0.0409090909,0.3171717172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6668560606,0.8154882155,0.3171717172,0.0409090909,3,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10030).JPG,8,2,0.5394886364,0.1085858586,0.0164772727,0.2171717172,2,0.6490530303,0.2986531987,0.0284090909,0.2841750842,2,0.8397727273,0.6341750842,0.0473484848,0.3579124579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8397727273,0.6341750842,0.3579124579,0.0473484848,4,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10033).JPG,8,2,0.4122159091,0.3414141414,0.0123106061,0.1771043771,2,0.5360795455,0.5563973064,0.0179924242,0.1962962963,2,0.7107954545,0.8718855219,0.0314393939,0.2292929293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7107954545,0.8718855219,0.2292929293,0.0314393939,4,28
_Object4_,1,Hframe (10034).JPG,5,2,0.4191287879,0.1606060606,0.0215909091,0.1616161616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4191287879,0.1606060606,0.1616161616,0.0215909091,2,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10035).JPG,8,2,0.4509469697,0.303030303,0.0234848485,0.2087542088,2,0.4911931818,0.5141414141,0.0327651515,0.2538720539,2,0.5571022727,0.8515151515,0.0414772727,0.296969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5571022727,0.8515151515,0.296969697,0.0414772727,4,28
"_Object6_, _Object7_, _Object8_",3,Hframe (10036).JPG,10,2,0.346780303,0.3801346801,0.003030303,0.0437710438,2,0.4035984848,0.3787878788,0.0034090909,0.0430976431,2,0.4611742424,0.3791245791,0.0034090909,0.0437710438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4611742424,0.3791245791,0.0437710438,0.0034090909,4,28
,0,Hframe (10037).JPG,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4611742424,0.3791245791,0.0437710438,0.0034090909,1,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10038).JPG,8,2,0.6482007576,0.22003367,0.0225378788,0.2764309764,2,0.7505681818,0.1537037037,0.0276515152,0.3074074074,2,0.9764204545,0.095959596,0.040719697,0.1919191919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9764204545,0.095959596,0.1919191919,0.040719697,4,28
"_Object4_, _Object5_",2,Hframe (1004).JPG,6,2,0.5878787879,0.9311447811,0.0299242424,0.1377104377,2,0.7240530303,0.9265993266,0.0204545455,0.1468013468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7240530303,0.9265993266,0.1468013468,0.0204545455,3,28
"_Object7_, _Object8_, _Object9_",3,Hframe (10041).JPG,10,2,0.4627840909,0.3072390572,0.0024621212,0.0367003367,2,0.5130681818,0.3077441077,0.0026515152,0.035016835,2,0.5625,0.3085858586,0.003030303,0.036026936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5625,0.3085858586,0.036026936,0.003030303,4,28
,0,Hframe (10042).JPG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5625,0.3085858586,0.036026936,0.003030303,1,28
"_Object4_, _Object5_",2,Hframe (10045).JPG,7,2,0.5207386364,0.8794612795,0.0384469697,0.2410774411,2,0.5440340909,0.2550505051,0.0058712121,0.1080808081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5440340909,0.2550505051,0.1080808081,0.0058712121,3,28
"_Object6_, _Object7_, _Object8_",3,Hframe (10046).JPG,10,2,0.4795454545,0.2905723906,0.0041666667,0.0552188552,2,0.4077651515,0.2888888889,0.0049242424,0.0538720539,2,0.3367424242,0.2912457912,0.0045454545,0.0565656566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3367424242,0.2912457912,0.0565656566,0.0045454545,4,28
,0,Hframe (10047).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3367424242,0.2912457912,0.0565656566,0.0045454545,1,28
"_Object3_, _Object4_",2,Hframe (10048).JPG,6,2,0.7833333333,0.1025252525,0.0401515152,0.2050505051,2,0.7314393939,0.1606060606,0.0132575758,0.3212121212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7314393939,0.1606060606,0.3212121212,0.0132575758,3,28
"_Object5_, _Object6_, _Object7_",3,Hframe (10051).JPG,8,2,0.4819128788,0.3146464646,0.0028409091,0.0427609428,2,0.5376893939,0.314983165,0.0026515152,0.0427609428,2,0.5935606061,0.3154882155,0.003030303,0.0404040404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5935606061,0.3154882155,0.0404040404,0.003030303,4,28
,0,Hframe (10052).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5935606061,0.3154882155,0.0404040404,0.003030303,1,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10053).JPG,8,2,0.6876893939,0.9286195286,0.0314393939,0.1427609428,2,0.5724431818,0.5725589226,0.0229166667,0.2077441077,2,0.4983901515,0.3106060606,0.0153409091,0.1888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4983901515,0.3106060606,0.1888888889,0.0153409091,4,28
"_Object4_, _Object5_",2,Hframe (10055).JPG,6,2,0.6024621212,0.6776094276,0.0143939394,0.1713804714,2,0.6357007576,0.951010101,0.0138257576,0.097979798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6357007576,0.951010101,0.097979798,0.0138257576,3,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10056).JPG,8,2,0.3013257576,0.2831649832,0.0060606061,0.0747474747,2,0.3944128788,0.2838383838,0.00625,0.0734006734,2,0.4896780303,0.2877104377,0.0051136364,0.0750841751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4896780303,0.2877104377,0.0750841751,0.0051136364,4,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10058).JPG,8,2,0.5729166667,0.5673400673,0.0079545455,0.1023569024,2,0.7196969697,0.5557239057,0.0113636364,0.1013468013,2,0.8649621212,0.5446127946,0.0140151515,0.0973063973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8649621212,0.5446127946,0.0973063973,0.0140151515,4,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10059).JPG,8,2,0.5521780303,0.1186868687,0.0339015152,0.2373737374,2,0.6898674242,0.1643097643,0.0263257576,0.3286195286,2,0.7583333333,0.2372053872,0.0242424242,0.295959596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7583333333,0.2372053872,0.295959596,0.0242424242,4,28
"_Object4_, _Object5_",2,Hframe (1006).JPG,7,2,0.4894886364,0.5069023569,0.0145833333,0.238047138,2,0.71875,0.5641414141,0.0196969697,0.2952861953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.71875,0.5641414141,0.2952861953,0.0196969697,3,28
"_Object6_, _Object7_, _Object8_",3,Hframe (10062).JPG,9,2,0.4708333333,0.3085858586,0.0041666667,0.0494949495,2,0.5380681818,0.3080808081,0.0041666667,0.0478114478,2,0.6050189394,0.3089225589,0.0047348485,0.0474747475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6050189394,0.3089225589,0.0474747475,0.0047348485,4,28
,0,Hframe (10063).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6050189394,0.3089225589,0.0474747475,0.0047348485,1,28
"_Object4_, _Object5_",2,Hframe (10066).JPG,7,2,0.5598484848,0.854040404,0.021969697,0.1713804714,2,0.4897727273,0.5367003367,0.0181818182,0.1569023569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4897727273,0.5367003367,0.1569023569,0.0181818182,3,28
_Object3_,1,Hframe (10068).JPG,4,2,0.6596590909,0.6168350168,0.0185606061,0.096969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6596590909,0.6168350168,0.096969697,0.0185606061,2,28
"_Object4_, _Object5_, _Object6_",3,Hframe (10069).JPG,8,2,0.6636363636,0.6626262626,0.0113636364,0.103030303,2,0.8300189394,0.6567340067,0.0153409091,0.1033670034,2,0.9928030303,0.6523569024,0.0143939394,0.0986531987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9928030303,0.6523569024,0.0986531987,0.0143939394,4,28
,0,Hframe (1007).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9928030303,0.6523569024,0.0986531987,0.0143939394,1,28
